sourceaddress,destinationaddress,destinationport,geocity,countrycode
"108.17.67.16","162.92.181.77","443","Oakmont","US"
"200.116.149.130","162.92.181.77","443","MedellÃ­n","CO"
"162.92.191.82","20.42.73.24","443","UNKNOWN","US"
"181.118.45.13","162.92.181.77","443","Port of Spain","TT"
"99.140.97.239","162.92.181.77","80","Chicago","US"
"162.92.191.81","20.189.173.2","443","UNKNOWN","US"
"92.63.197.83","162.92.128.195","3392","UNKNOWN","RU"
"165.227.2.127","162.92.128.152","138","Santa Clara","US"
"172.20.9.7","17.253.16.125","123","unknown","unknown"
"172.20.16.244","185.46.212.88","9400","unknown","unknown"
"74.213.80.221","162.92.181.77","443","Aguadilla","PR"
"89.248.165.52","162.92.128.160","8086","UNKNOWN","NL"
"172.20.15.46","185.46.212.88","9400","unknown","unknown"
"162.92.191.84","184.29.137.86","80","UNKNOWN","US"
"222.186.19.235","162.92.181.66","81","UNKNOWN","CN"
"68.80.52.46","10.244.9.185","80","King of Prussia","US"
"115.79.220.47","10.244.9.184","80","UNKNOWN","VN"
"66.36.234.42","162.92.181.98","5060","Kansas City","US"
"174.77.225.155","162.92.181.77","80","Ocala","US"
"172.20.17.7","185.46.212.88","9400","unknown","unknown"
"172.19.5.29","17.248.193.72","443","unknown","unknown"
"162.92.191.88","52.168.112.66","443","UNKNOWN","US"
"146.226.104.27","162.92.181.77","443","UNKNOWN","VI"
"172.20.16.230","104.75.163.75","443","unknown","unknown"
"172.19.4.138","17.188.135.159","443","unknown","unknown"
"174.197.5.110","162.92.181.77","443","Vernon Hills","US"
"104.186.100.155","162.92.181.77","443","Wichita","US"
"172.19.5.9","17.248.188.165","443","unknown","unknown"
"89.248.168.112","162.92.128.135","9080","UNKNOWN","NL"
"172.101.131.76","162.92.181.77","443","Rochester","US"
"45.137.21.134","10.244.9.157","80","UNKNOWN","NL"
"173.199.241.194","162.92.181.77","80","Miami","US"
"73.39.253.18","162.92.181.77","443","Severn","US"
"92.118.161.9","162.92.180.71","2443","UNKNOWN","LT"
"45.231.169.242","162.92.181.77","443","CancÃºn","MX"
"192.193.171.150","162.92.181.77","443","UNKNOWN","US"
"73.112.86.11","162.92.181.77","80","Mount Laurel","US"
"168.149.135.12","162.92.181.77","80","UNKNOWN","US"
"162.92.191.83","142.251.33.2","443","UNKNOWN","US"
"172.20.9.9","52.96.166.226","443","unknown","unknown"
"172.58.24.107","162.92.181.77","80","Rancho Cucamonga","US"
"92.118.160.33","162.92.181.28","30010","UNKNOWN","LT"
"172.20.8.163","17.253.14.123","123","unknown","unknown"
"92.63.197.83","162.92.128.234","3415","UNKNOWN","RU"
"172.19.5.97","17.242.160.23","443","unknown","unknown"
"104.140.188.30","162.92.128.101","9042","Las Vegas","US"
"172.115.36.4","162.92.181.77","443","Chino Hills","US"
"89.248.168.112","162.92.177.11","9080","UNKNOWN","NL"
"89.248.169.12","162.92.181.80","5900","UNKNOWN","NL"
"73.141.125.179","162.92.181.77","80","UNKNOWN","US"
"172.225.215.130","162.92.181.77","80","UNKNOWN","US"
"169.62.152.37","162.92.181.3","8794","UNKNOWN","US"
"92.63.197.83","162.92.181.17","3418","UNKNOWN","RU"
"18.221.231.23","10.244.8.217","443","Columbus","US"
"89.248.168.112","162.92.128.247","9080","UNKNOWN","NL"
"92.63.197.83","162.92.181.62","3401","UNKNOWN","RU"
"69.253.116.85","162.92.181.77","443","UNKNOWN","US"
"172.19.4.154","3.215.231.251","443","unknown","unknown"
"172.19.5.60","162.92.181.57","8443","unknown","unknown"
"80.82.77.139","162.92.181.43","995","UNKNOWN","NL"
"195.133.18.24","162.92.128.81","22","UNKNOWN","RU"
"162.92.191.82","18.202.163.246","443","UNKNOWN","US"
"34.77.162.7","162.92.191.87","137","UNKNOWN","US"
"222.186.19.235","162.92.128.121","81","UNKNOWN","CN"
"69.164.128.226","162.92.181.77","443","Brooklyn","US"
"23.204.146.79","13.86.136.241","4432","UNKNOWN","US"
"23.63.234.14","10.245.8.76","443","UNKNOWN","US"
"187.163.76.239","162.92.181.77","443","Monterrey","MX"
"162.92.191.87","20.42.73.26","443","UNKNOWN","US"
"172.58.21.223","162.92.181.77","443","Anaheim","US"
"76.217.89.3","162.92.181.77","80","Miami","US"
"162.92.191.70","142.147.88.111","123","UNKNOWN","US"
"201.121.112.249","10.234.21.19","80","UNKNOWN","MX"
"68.80.52.46","10.244.9.105","80","King of Prussia","US"
